private_name	public_name	kind	private_source_path	public_source_path	private_type_sha256	public_type_sha256	namespace_normalized_type_sha256	type_identity_after_namespace_normalization	axiom_footprint	private_value_sha256	public_value_sha256	namespace_normalized_value_sha256	proof_body_changed_beyond_namespace_elaboration
Someone.Admission	Continuity.Admission.Admission	inductive	someone/Someone.lean	formalization/Continuity/Admission.lean	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	b4611575b2b62eb57ff8b514cf96bf01666158b035ac2fcc89065136260d1e05	true	AXIOM-FREE	-	-	-	false
Someone.Admission._sizeOf_1	Continuity.Admission.Admission._sizeOf_1	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	63fb7e9710627eaa65cd42ae6a80484cc34e9dd547228631b4b6ecdc90cf2542	934d00dcb101c2e7f0b8d891705f8248d0e8526f007ee37a22ec2b2dee8690e3	24e32421b02c62c142cc57d848c5101f34a552d2f51adb25fa25fd0ae459efae	true	AXIOM-FREE	7426da930f4ca2b9e5759e504c4273bde2055e6b097960b2f3249b2cfc093f24	269ba88563e53a43a61b3c2996f5e96b9ec208178d1a34acc2c73f63785d24a7	c6713186609aa7bdc72a26a8ad37f56e2155a18acfd652b3d51d1daaf2abef24	false
Someone.Admission._sizeOf_inst	Continuity.Admission.Admission._sizeOf_inst	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	2ba39614c4f1ae17878f838bbdd4be576ca51e702e08e55ba09089e7c69d53b6	734651c5941e8cdc68c70d3eb45534f95f629df8402ed227896ddfaad6567375	2ba39614c4f1ae17878f838bbdd4be576ca51e702e08e55ba09089e7c69d53b6	true	AXIOM-FREE	fd592c7d6c8f0bd9233a856796b03c59ba3234b39dea7cd0da3a750112470da7	6455fdcdd781b635da873f756ee6d8b7fba2fd6bd760cc11c7153639d6219d81	7239c0f050ed233ed795ec07753c44ac584958cb30b13073e7b2b37ea6c54570	false
Someone.Admission.casesOn	Continuity.Admission.Admission.casesOn	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	fbd3998ea68e58d5797f241af0943a5c678443da40e47985f6e865ef53aa5655	282899d7ca523aec4a20a82738a063ca52728204a8fa03091f9b3a57a824fc18	29be6338878370698103e89d87d11d19b45da755bd55c8c8e3d5b79637212300	true	AXIOM-FREE	d0aa2658f581732189e843a51781b264d27d6e8a9b1b6cc6ac6032d036404c40	fc1571a3b4d695f59c9508470f00774e833d5c3e64c19d3372aab42a2a1779ed	e9239942950dcdc2968d8165797032e7c4204a79d308954430c3307edc224399	false
Someone.Admission.ctorIdx	Continuity.Admission.Admission.ctorIdx	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	63fb7e9710627eaa65cd42ae6a80484cc34e9dd547228631b4b6ecdc90cf2542	934d00dcb101c2e7f0b8d891705f8248d0e8526f007ee37a22ec2b2dee8690e3	24e32421b02c62c142cc57d848c5101f34a552d2f51adb25fa25fd0ae459efae	true	AXIOM-FREE	5f345887e90830d00f2ee2e68742e279de2bf2759a10254b1ab42ea01ceeddfc	530a033b9f3f3362cff5dd752188f8d8c621ae59dff7a9d1277f443515027c69	056d569e0a004f86577ff9cf696a635ddc77148a5edef398b7533157fb8fbabb	false
Someone.Admission.earnedBy	Continuity.Admission.Admission.earnedBy	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	b7b2a5d5069f8c2b4bb53b2d1c45bca7d39c17630d63bcf36bb52ebef6410b8a	de0849cde7562ef16314415acd89077ce8f670ac324ce5ec441b661a8ab74679	a3cf1f180a269462e76314f53bec89801d36c6a11842e96d3d2092134f4134cf	true	AXIOM-FREE	747844c553b736f77c52b65e9556a3d457be9f5a53fec790f366779d0f15805c	a56776bc0c2c30aa51e7e577b1ceb3f49a90bd3b2ddf92918ac765cd4655b5a6	9b7aecaa4e4f3e53e7e710846141f35b44b8a24d3e31af579efa8e43989dccbe	false
Someone.Admission.humanAccepted	Continuity.Admission.Admission.humanAccepted	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	2f6e74732a84accdc29d6a72243017595b0e06d46b3cb36b49a90994f914c7a6	86e91d5d384b6db950f1ab2ef41c4393f82f7d719648d6ffaa07356bb0ce25f1	36473fbcdbad5ad62174720749199a966ffbea344070471e79dab1bd6b45b089	true	AXIOM-FREE	550a5edd8e7eb3dcf5b0eeef697b219144b95355d07e31bc4cbbfea49b7de766	aff1ec59cc73b8e64e9e2e8b96e295ff23140d4f0933130dc16344c449e10a60	6d287db38746ca618d6992632b54a26b27cf199eaa50fd9e99ce3dd27ad39d99	false
Someone.Admission.invariantSet	Continuity.Admission.Admission.invariantSet	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	9a97af9ad31a887d023057d1e87fdea6c49cc1ebf56cebc6f74a9405f312edc6	4095a7036afd1585cc4b68f7f9610b725209e2c3cda01cf6d60e36392882911c	370e1f898cc57980d5c6f684308214386c0e66c763d15b36fff164c3329cb5a0	true	AXIOM-FREE	815fa61485617210db9dbe1cbb8646092a60b747feff9858656e66a9f11d55da	7884342d2aa1638a93eac49a73e8f8d3192893337511ed306777b0092fe776a7	1fe47c8ce0fd045a172792826041bef549fd426c6f8b3af1e5b3ee47250c158f	false
Someone.Admission.mk	Continuity.Admission.Admission.mk	constructor	someone/Someone.lean	formalization/Continuity/Admission.lean	f2fe02469597dabba95972cf5c6e712df535faad1be3845c427cc2b904c14549	43c2304c65865d1fc5a9db83a86d9956df363e8583af76fdfd40a658dfb72e86	2685128b01115be9e162ada4ae47bfd72cde8ddb078a587b1110d0726e4406ef	true	AXIOM-FREE	-	-	-	false
Someone.Admission.mk._flat_ctor	Continuity.Admission.Admission.mk._flat_ctor	definition	someone/Someone.lean	formalization/Continuity/Admission.lean	f2fe02469597dabba95972cf5c6e712df535faad1be3845c427cc2b904c14549	43c2304c65865d1fc5a9db83a86d9956df363e8583af76fdfd40a658dfb72e86	2685128b01115be9e162ada4ae47bfd72cde8ddb078a587b1110d0726e4406ef	true	AXIOM-FREE	ec8507c017dd4de8a0f4c5d7e8988325b5652d06579db8c57f05d72c7402f0bf	6c97acac5c2e29dd46df8d87f224b7bfa76c031824ec7896b457e01d3db6c447	c8540f38ae4902930f4b43c9728f27d3e21989636d007bea553d9b589a134389	false
